method	quality	guarantee	nb_patterns	crispiness	timespent	timeInitialize
CbO	0.22195013524815588	-1	870333	0.0	11.065850019454956	0.41120100021362305
RefineAndMine	0.21842577174330732	0.8295477663333811	1759	1.0	0.043035030364990234	0.41120100021362305
RefineAndMine	0.21842577174330732	0.774446386726844	2693	1.0	0.06506013870239258	0.41120100021362305
RefineAndMine	0.21842577174330732	0.7554890407552799	3861	1.0	0.09954023361206055	0.41120100021362305
RefineAndMine	0.21842577174330732	0.7531193725088344	5817	1.0	0.14730620384216309	0.41120100021362305
RefineAndMine	0.21842577174330732	0.6322662919401141	8002	1.0	0.20640897750854492	0.41120100021362305
RefineAndMine	0.21842577174330732	0.6081099917871593	11463	1.0	0.2886838912963867	0.41120100021362305
RefineAndMine	0.21842577174330732	0.5305871804338489	15066	1.0	0.3923029899597168	0.41120100021362305
RefineAndMine	0.21842577174330732	0.5091226576450998	19119	1.0	0.5099256038665771	0.41120100021362305
RefineAndMine	0.21842577174330732	0.4925349799199813	31720	1.0	0.9780018329620361	0.41120100021362305
RefineAndMine	0.21842577174330732	0.4486961173607396	41221	1.0	1.2930259704589844	0.41120100021362305
RefineAndMine	0.21842577174330732	0.3904150875157287	50619	1.0	1.6100268363952637	0.41120100021362305
RefineAndMine	0.21842577174330732	0.39010051311417354	60683	1.0	1.9830057621002197	0.41120100021362305
RefineAndMine	0.21842577174330732	0.370255954309481	76326	1.0	2.6071865558624268	0.41120100021362305
RefineAndMine	0.21842577174330732	0.31001589825119236	93488	1.0	3.196197509765625	0.41120100021362305
RefineAndMine	0.21842577174330732	0.30668932104672275	109307	1.0	3.764355421066284	0.41120100021362305
RefineAndMine	0.21842577174330732	0.30272040928578425	127816	1.0	4.458672285079956	0.41120100021362305
RefineAndMine	0.21842577174330732	0.2955341737053474	151625	1.0	5.272467374801636	0.41120100021362305
RefineAndMine	0.21842577174330732	0.2753317158809213	170636	1.0	5.967132568359375	0.41120100021362305
RefineAndMine	0.21842577174330732	0.2745782442604299	189115	1.0	6.631728410720825	0.41120100021362305
RefineAndMine	0.21842577174330732	0.2532342769309594	211029	1.0	7.462196588516235	0.41120100021362305
RefineAndMine	0.21842577174330732	0.24830468885389434	233555	1.0	8.398974657058716	0.41120100021362305
RefineAndMine	0.21842577174330732	0.2444921224542078	252897	1.0	9.106332540512085	0.41120100021362305
RefineAndMine	0.21842577174330732	0.24392325138073673	269936	1.0	9.713342428207397	0.41120100021362305
RefineAndMine	0.21842577174330732	0.23960209163721852	289941	1.0	10.473095417022705	0.41120100021362305
RefineAndMine	0.21842577174330732	0.23194116893587205	310776	1.0	11.319681406021118	0.41120100021362305
RefineAndMine	0.21842577174330732	0.2317735215003127	355834	1.0	13.109879493713379	0.41120100021362305
RefineAndMine	0.21842577174330732	0.23097672526164303	375335	1.0	13.77727746963501	0.41120100021362305
RefineAndMine	0.21842577174330732	0.22908927885231206	406676	1.0	15.03862452507019	0.41120100021362305
RefineAndMine	0.21842577174330732	0.22600004520829722	424240	1.0	15.514110326766968	0.41120100021362305
RefineAndMine	0.21842577174330732	0.2259096286138383	451239	1.0	16.604068517684937	0.41120100021362305
RefineAndMine	0.22195013524815588	0.2229409504291021	464312	1.0	17.124558687210083	0.41120100021362305
RefineAndMine	0.22195013524815588	0.22195013524815588	492221	1.0	18.23978877067566	0.41120100021362305
RefineAndMine	0.22195013524815588	0.22195013524815588	551479	1.0	19.085657596588135	0.41120100021362305
RefineAndMine	0.22195013524815588	0.22195013524815588	597999	1.0	19.681288957595825	0.41120100021362305
RefineAndMine	0.22195013524815588	0.22195013524815588	663706	1.0	20.50595188140869	0.41120100021362305
RefineAndMine	0.22195013524815588	0.22195013524815588	720499	1.0	21.226309061050415	0.41120100021362305
RefineAndMine	0.22195013524815588	0.22195013524815588	779496	1.0	21.975353002548218	0.41120100021362305
RefineAndMine	0.22195013524815588	0.22195013524815588	828260	1.0	22.605164051055908	0.41120100021362305
RefineAndMine	0.22195013524815588	0.22195013524815588	870340	1.0	23.143699169158936	0.41120100021362305
RefineAndMine	0.22195013524815588	0.22195013524815588	909257	1.0	23.644747257232666	0.41120100021362305
RefineAndMine	0.22195013524815588	0.22195013524815588	984768	1.0	24.731488466262817	0.41120100021362305
RefineAndMine	0.22195013524815588	0.22195013524815588	1049615	1.0	25.550742149353027	0.41120100021362305
